SName,Hardened
AppReadiness,Manual
autotimesvc,Disabled
AppIDSvc,Manual
Appinfo,Manual
AJRouter,Disabled
AppMgmt,Disabled
AppXSvc,Disabled
AssignedAccessManagerSvc,Manual
BthAvctpSvc,Disabled
BITS,Manual
BDESVC,Manual
camsvc,Manual
CertPropSvc,Disabled
ClipSVC,Disabled
KeyIso,Manual
COMSysApp,Manual
VaultSvc,Manual
DsSvc,Manual
DeviceAssociationService,Manual
DeviceInstall,Manual
DmEnrollmentSvc,Manual
DsmSvc,Manual
DevicesFlowUserSvc,Manual
DevQueryBroker,Manual
diagsvc,Manual
embeddedmode,Manual
EFS,Manual
EntAppSvc,Manual
GraphicsPerfSvc,Manual
HvHost,Manual
vmickvpexchange,Manual
vmicguestinterface,Manual
vmicshutdown,Manual
vmicvmsession,Manual
vmicheartbeat,Manual
vmicrdv,Manual
vmictimesync,Manual
vmicvss,Manual
IKEEXT,Manual
PolicyAgent,Manual
KtmRm,Manual
wlpasvc,Manual
diagnosticshub.standardcollector.service,Manual
swprv,Manual
smphost,Manual
NaturalAuthentication,Manual
Netlogon,Manual
Netman,Manual
netprofm,Manual
NetSetupSvc,Manual
defragsvc,Manual
PerfHost,Manual
pla,Manual
PlugPlay,Manual
WPDBusEnum,Manual
seclogon,Manual
SstpSvc,Manual
wscsvc,Manual
svsvc,Manual
StateRepository,Manual
StorSvc,Manual
TieringEngineService,Manual
lmhosts,Manual
TimeBrokerSvc,Manual
UsoSvc,Manual
vds,Manual
VSS,Disabled
WarpJITSvc,Manual
TokenBroker,Manual
WdNisSvc,Manual
msiserver,Manual
LicenseManager,Manual
TrustedInstaller,Manual
wuauserv,Automatic
wmiApSrv,Manual
BrokerInfrastructure,Automatic
BFE,Automatic
EventSystem,Automatic
CDPSvc,Automatic
DiagTrack,Disabled
CoreMessaginRegistrar,Automatic
CryptSvc,Automatic
DusmSvc,Automatic
DcomLaunch,Automatic
DoSvc,Automatic
Dhcp,Automatic
DPS,Automatic
TrkWks,Automatic
MSDTC,Automatic
Dnscache,Automatic
gpsvc,Automatic
LSM,Automatic
NlaSvc,Automatic
nsi,Automatic
Power,Automatic
RpcSs,Automatic
RpcEptMapper,Automatic
SamSs,Automatic
ShellHWDetection,Automatic
sppsvc,Automatic
SENS,Automatic
SystemEventsBroker,Automatic
Schedule,Automatic
emet_service,Automatic
tiledatamodelsvc,Automatic
UserManager,Automatic
ProfSvc,Automatic
FrameServer,Disabled
WinDefend,Automatic
Sense,Manual
SecurityHealthService,Automatic
EventLog,Automatic
MpsSvc,Automatic
FontCache,Automatic
WLMS,Automatic
Winmgmt,Automatic
W32Time,Automatic
LanmanWorkstation,Automatic
BTAGService,Disabled
bthserv,Disabled
MapsBroker,Disabled
lfsvc,Disabled
IISADMIN,Disabled
irmon,Disabled
SharedAccess,Disabled
lltdsvc,Disabled
LxssManager,Disabled
FTPSVC,Disabled
MSiSCSI,Disabled
sshd,Disabled
PNRPsvc,Disabled
p2psvc,Disabled
p2pimsvc,Disabled
PNRPAutoReg,Disabled
Spooler,Disabled
wercplsupport,Disabled
RasAuto,Disabled
SessionEnv,Disabled
TermService,Disabled
UmRdpService,Disabled
RpcLocator,Disabled
RemoteRegistry,Disabled
RemoteAccess,Disabled
LanmanServer,Disabled
simptcp,Disabled
SNMP,Disabled
sacsvr,Disabled
SSDPSRV,Disabled
upnphost,Disabled
WMSvc,Disabled
WerSvc,Disabled
Wecsvc,Disabled
WMPNetworkSvc,Disabled
icssvc,Disabled
WpnService,Disabled
PushToInstall,Disabled
WinRM,Disabled
W3SVC,Disabled
XboxGipSvc,Disabled
XblAuthManager,Disabled
XblGameSave,Disabled
XboxNetApiSvc,Disabled
AxInstSV,Disabled
ALG,Disabled
tzAutomaticupdate,Disabled
wbengine,Disabled
BthHFSrv,Disabled
PeerDistSvc,Disabled
CDPUserSvc,Disabled
PimIndexMaintenanceSvc,Disabled
WdiServiceHost,Disabled
WdiSystemHost,Disabled
dmwappushservice,Disabled
EapHost,Disabled
Fax,Disabled
fhsvc,Disabled
fdPHost,Disabled
FDResPub,Disabled
HomeGroupListener,Disabled
HomeGroupProvider,Disabled
hidserv,Disabled
UI0Detect,Disabled
iphlpsvc,Disabled
IpxlatCfgSvc,Disabled
MessagingService,Disabled
AppVClient,Disabled
wlidsvc,Disabled
NgcSvc,Disabled
SmsRouter,Disabled
NetTcpPortSharing,Disabled
NcbService,Disabled
NcdAutoSetup,Disabled
NcaSvc,Disabled
CscService,Disabled
SEMgrSvc,Disabled
PhoneSvc,Disabled
PrintNotify,Disabled
PcaSvc,Disabled
QWAVE,Disabled
RmSvc,Disabled
RasMan,Disabled
RetailDemo,Disabled
SensorDataService,Disabled
SensrSvc,Disabled
SensorService,Disabled
shpamsvc,Disabled
ScDeviceEnum,Disabled
SCPolicySvc,Disabled
SCardSvr,Disabled
SharedRealitySvc,Disabled
WiaRpc,Disabled
SysMain,Disabled
OneSyncSvc,Disabled
TapiSrv,Disabled
Themes,Disabled
TabletInputService,Disabled
UserDataSvc,Disabled
UnistoreSvc,Disabled
UevAgentService,Disabled
WalletService,Disabled
WebClient,Disabled
WFDSConMgrSvc,Disabled
AudioEndpointBuilder,Automatic
Audiosrv,Automatic
SDRSVC,Disabled
WbioSrvc,Disabled
Wcmsvc,Disabled
WCNCSVC,Disabled
WEPHOSTSVC,Disabled
stisvc,Disabled
wisvc,Disabled
WMPNetworkSvc,Disabled
spectrum,Disabled
WpnUserService,Disabled
WSearch,Disabled
InstallService,Disabled
dot3svc,Disabled
WlanSvc,Disabled
workfolderssvc,Disabled
WwanSvc,Disabled
xbgm,Disabled
